Medal,Number_of_Medals,region,Year,Sport
Bronze,2,USA,2000,Sailing
Gold,1,Kazakhstan,1996,Wrestling
Gold,1,USA,1976,Wrestling
Silver,2,Spain,2004,Tennis
Bronze,1,Romania,1960,Boxing
Silver,1,Russia,2000,Canoeing
Silver,1,Puerto Rico,1984,Boxing
Silver,2,Bulgaria,1996,Shooting
Gold,2,Germany,1956,Canoeing
Bronze,1,Czech Republic,1964,Shooting
Bronze,1,USA,1976,Alpine Skiing
Bronze,1,Finland,1992,Ski Jumping
Silver,3,Russia,1980,Weightlifting
Silver,1,Hungary,1928,Wrestling
Silver,1,USA,2002,Speed Skating
Bronze,1,Australia,1988,Swimming
Gold,1,Russia,2004,Modern Pentathlon
Silver,2,Greece,2004,Taekwondo
Silver,4,Russia,1976,Cycling
Gold,2,USA,1988,Wrestling
Silver,2,Russia,1908,Wrestling
Silver,1,South Africa,2000,Swimming
Gold,1,Poland,1960,Boxing
Bronze,2,France,2014,Freestyle Skiing
Gold,4,UK,1908,Polo
Bronze,1,Russia,1976,Wrestling
Gold,2,France,1992,Fencing
Bronze,1,Poland,1992,Athletics
Silver,1,USA,1900,Polo
Silver,1,Australia,1932,Swimming
Bronze,1,Tunisia,2012,Swimming
Silver,1,Serbia,1984,Wrestling
Silver,1,Moldova,2000,Shooting
Silver,1,Romania,1968,Boxing
Bronze,3,Finland,1912,Athletics
Gold,1,Brazil,1920,Shooting
Silver,4,Germany,2012,Athletics
Silver,2,Ireland,2016,Rowing
Bronze,1,Colombia,2012,Cycling
Gold,1,Australia,1928,Rowing
Gold,2,Germany,1968,Swimming
Silver,6,Czech Republic,2014,Biathlon
Silver,2,South Africa,2004,Athletics
Bronze,1,Mozambique,1996,Athletics
Bronze,2,Sweden,1920,Wrestling
Silver,1,Poland,1996,Athletics
Bronze,2,Sweden,1980,Sailing
Silver,1,Jamaica,1968,Athletics
Bronze,1,Slovakia,2000,Canoeing
Bronze,1,Sweden,2012,Sailing
Gold,4,Switzerland,1924,Bobsleigh
Silver,1,Denmark,1948,Art Competitions
Gold,1,Greece,1996,Gymnastics
Gold,1,Russia,2012,Gymnastics
Bronze,2,Japan,2008,Judo
Bronze,1,Dominican Republic,1984,Boxing
Gold,6,Romania,1992,Rowing
Gold,1,Cuba,2012,Judo
Silver,2,Bulgaria,2000,Weightlifting
Silver,1,Australia,1988,Athletics
Silver,1,Czech Republic,1928,Wrestling
Silver,1,Finland,1968,Speed Skating
Bronze,2,Russia,1968,Shooting
Silver,1,Spain,1992,Athletics
Bronze,1,UK,2012,Taekwondo
Bronze,1,Finland,1998,Freestyle Skiing
Bronze,1,Sweden,1948,Art Competitions
Silver,1,Italy,2004,Swimming
Silver,1,Russia,1972,Modern Pentathlon
Silver,3,Germany,1996,Archery
Gold,1,Greece,2000,Taekwondo
Silver,1,Japan,2000,Wrestling
Bronze,1,Mongolia,1988,Boxing
Gold,1,Finland,1964,Athletics
Gold,1,Cuba,1980,Weightlifting
Silver,2,Austria,1936,Figure Skating
Silver,1,Denmark,1924,Art Competitions
Bronze,2,Italy,2000,Cycling
Silver,2,Russia,2012,Boxing
Bronze,2,Italy,1956,Cycling
Silver,1,France,1988,Equestrianism
Silver,2,Hungary,1932,Gymnastics
Bronze,1,Ukraine,2000,Judo
Gold,1,Egypt,1928,Weightlifting
Silver,2,Norway,1968,Cross Country Skiing
Silver,1,Netherlands,1924,Cycling
Bronze,1,Belgium,2004,Cycling
Bronze,1,Japan,2000,Taekwondo
Silver,1,Mongolia,2008,Shooting
Gold,2,USA,1976,Archery
Silver,1,Ireland,2016,Sailing
Silver,1,Russia,2014,Snowboarding
Silver,1,Japan,1960,Wrestling
Silver,1,Russia,1976,Weightlifting
Silver,1,Argentina,1964,Equestrianism
Gold,2,New Zealand,1964,Sailing
Gold,2,USA,2012,Beach Volleyball
Gold,1,Japan,1968,Weightlifting
Silver,1,Egypt,1948,Weightlifting
Gold,4,Australia,2008,Sailing
Gold,1,Romania,1956,Shooting
Silver,2,Switzerland,1928,Art Competitions
Silver,2,Armenia,2016,Weightlifting
Silver,1,Canada,1932,Wrestling
Gold,5,Sweden,1988,Cross Country Skiing
Bronze,1,Mongolia,1992,Boxing
Silver,1,Denmark,1896,Shooting
Gold,1,Japan,1998,Short Track Speed Skating
Silver,1,Finland,1984,Ski Jumping
Gold,1,Ukraine,2008,Canoeing
Bronze,1,USA,1988,Cycling
Gold,1,Kazakhstan,1996,Modern Pentathlon
Silver,1,Sweden,1996,Archery
Silver,1,Denmark,2000,Badminton
Silver,2,Switzerland,1924,Athletics
Gold,1,Italy,1964,Shooting
Bronze,1,Kenya,1984,Athletics
Bronze,1,Germany,1908,Cycling
Silver,1,Finland,2012,Sailing
Gold,1,Belarus,2008,Athletics
Gold,2,Ukraine,2004,Wrestling
Silver,1,Austria,1980,Ski Jumping
Silver,2,Romania,2004,Athletics
Gold,1,Poland,1960,Weightlifting
Silver,1,Germany,2006,Speed Skating
Silver,1,Slovakia,2004,Canoeing
Gold,2,USA,2016,Tennis
Bronze,1,Azerbaijan,2008,Judo
Bronze,1,Afghanistan,2012,Taekwondo
Bronze,1,Denmark,1980,Cycling
Bronze,1,France,1906,Weightlifting
Bronze,1,Bulgaria,1964,Boxing
Silver,1,Russia,1964,Modern Pentathlon
Silver,1,Australia,1920,Athletics
Silver,1,Italy,1996,Shooting
Bronze,1,Italy,1984,Modern Pentathlon
Gold,1,Finland,1988,Cross Country Skiing
Gold,1,Netherlands,1932,Equestrianism
Gold,2,UK,1906,Shooting
Silver,3,Greece,1906,Shooting
Bronze,2,Romania,1968,Bobsleigh
Bronze,1,Denmark,1896,Fencing
Gold,1,USA,2000,Cycling
Silver,1,Denmark,1932,Weightlifting
Silver,1,Estonia,2012,Wrestling
Silver,1,Poland,1964,Boxing
Bronze,2,Belgium,1900,Shooting
Gold,2,USA,2016,Wrestling
Gold,1,Canada,1932,Athletics
Bronze,1,USA,1948,Wrestling
Bronze,1,Canada,2000,Swimming
Bronze,1,Serbia,1972,Wrestling
Bronze,2,Denmark,2012,Badminton
Silver,1,Netherlands,1980,Athletics
Silver,1,Japan,1932,Athletics
Gold,3,Australia,1964,Sailing
Silver,1,Belarus,1994,Biathlon
Bronze,1,Argentina,2008,Judo
Silver,1,UK,1964,Swimming
Bronze,1,Australia,2004,Tennis
Bronze,2,Nigeria,1996,Athletics
Silver,1,Netherlands,1988,Cycling
Silver,1,Ecuador,2008,Athletics
Bronze,1,Poland,1976,Cycling
Bronze,1,Germany,1928,Fencing
Gold,2,Germany,1972,Swimming
Gold,2,Germany,1968,Wrestling
Silver,2,Slovakia,2000,Swimming
Silver,1,USA,1976,Shooting
Silver,2,Russia,1976,Fencing
Bronze,1,South Africa,1924,Athletics
Bronze,1,Switzerland,1968,Shooting
Bronze,1,Bulgaria,1964,Wrestling
Silver,1,Mongolia,2012,Judo
Bronze,2,Denmark,1964,Canoeing
Bronze,1,Poland,2016,Athletics
Bronze,1,Hungary,2016,Athletics
Bronze,2,Bulgaria,1968,Boxing
Silver,5,Greece,1920,Shooting
Bronze,1,Colombia,2012,Taekwondo
Gold,1,Finland,1998,Cross Country Skiing
Bronze,1,Austria,2002,Biathlon
Silver,1,UK,1964,Weightlifting
Gold,1,Italy,2012,Taekwondo
Gold,1,USA,1928,Wrestling
Bronze,4,Canada,1988,Equestrianism
Bronze,1,Finland,1936,Cross Country Skiing
Bronze,1,Norway,2008,Swimming
Gold,1,Russia,2012,Boxing
Bronze,2,Greece,1896,Weightlifting
Gold,1,Australia,2012,Athletics
Gold,3,USA,1932,Wrestling
Gold,1,France,1956,Athletics
Bronze,1,Lithuania,2008,Wrestling
Gold,1,Iran,1968,Wrestling
Silver,2,Japan,2000,Swimming
Gold,1,Romania,1972,Canoeing
Silver,1,Norway,2014,Nordic Combined
Silver,1,UK,1972,Equestrianism
Bronze,1,Japan,1968,Boxing
Bronze,1,Poland,2016,Modern Pentathlon
Bronze,4,Finland,1932,Athletics
Bronze,1,Italy,1964,Athletics
Bronze,2,Japan,1932,Athletics
Bronze,1,Belarus,2008,Weightlifting
Bronze,3,Japan,1992,Synchronized Swimming
Gold,1,Australia,1932,Rowing
Gold,1,Australia,2004,Diving
Bronze,1,Switzerland,1928,Wrestling
Gold,1,Italy,2012,Canoeing
Bronze,1,Moldova,1996,Wrestling
Bronze,1,Brazil,1952,Swimming
Silver,1,Italy,1956,Cycling
Gold,3,Russia,1996,Athletics
Silver,2,Italy,1996,Athletics
Gold,1,Russia,1964,Biathlon
Bronze,1,Australia,1936,Athletics
Silver,3,France,1920,Sailing
Bronze,1,Czech Republic,1968,Figure Skating
Silver,1,Poland,2008,Athletics
Silver,1,Japan,2012,Weightlifting
Gold,1,Mozambique,2000,Athletics
Bronze,2,Poland,2012,Sailing
Bronze,1,Japan,2016,Weightlifting
Gold,1,Ecuador,1996,Athletics
Silver,1,Italy,1964,Gymnastics
Silver,5,Italy,2004,Fencing
Bronze,1,India,2012,Badminton
Gold,1,Estonia,2000,Athletics
Gold,1,Hungary,1948,Gymnastics
Bronze,1,USA,1972,Canoeing
Bronze,1,Thailand,1988,Boxing
Bronze,1,Belgium,1960,Sailing
Gold,1,UK,1928,Art Competitions
Bronze,1,Egypt,1948,Wrestling
Silver,1,Russia,2010,Cross Country Skiing
Silver,1,USA,2010,Freestyle Skiing
Gold,1,Cameroon,2004,Athletics
Gold,1,Czech Republic,1988,Tennis
Gold,1,Russia,2008,Modern Pentathlon
Bronze,1,Switzerland,2010,Snowboarding
Bronze,1,Serbia,1964,Wrestling
Bronze,1,Germany,1968,Boxing
Bronze,1,Finland,1980,Archery
Gold,1,Japan,1956,Gymnastics
Silver,1,UK,2016,Trampolining
Silver,1,Mexico,1968,Athletics
Bronze,2,Spain,2004,Athletics
Gold,1,Suriname,1988,Swimming
Gold,3,Sweden,1900,Tug-Of-War
Bronze,8,Finland,1932,Gymnastics
Bronze,1,UK,2012,Boxing
Bronze,1,Greece,1896,Tennis
Bronze,2,Canada,1988,Alpine Skiing
Gold,1,Brazil,1988,Judo
Silver,1,Poland,1972,Weightlifting
Gold,1,Hungary,1952,Boxing
Bronze,2,France,1984,Sailing
Gold,1,Serbia,1976,Wrestling
Bronze,1,Norway,1996,Sailing
Silver,3,Denmark,1900,Shooting
Silver,2,Finland,2008,Rowing
Gold,1,South Korea,2016,Golf
Bronze,1,USA,2004,Judo
Gold,1,Bulgaria,2000,Athletics
Bronze,3,Finland,1936,Wrestling
Silver,1,Gabon,2012,Taekwondo
Bronze,1,Norway,2006,Cross Country Skiing
Gold,2,China,2008,Canoeing
Bronze,1,USA,1988,Gymnastics
Bronze,1,Spain,2004,Gymnastics
Gold,1,Finland,1968,Speed Skating
Bronze,1,Bulgaria,1980,Judo
Bronze,1,Switzerland,2002,Alpine Skiing
Bronze,1,Austria,1998,Luge
Silver,1,Hungary,1992,Gymnastics
Bronze,1,Australia,2016,Cycling
Bronze,1,Romania,1984,Canoeing
Bronze,1,Russia,1964,Canoeing
Silver,2,USA,1972,Wrestling
Silver,1,South Africa,1992,Athletics
Gold,1,Azerbaijan,2004,Wrestling
Silver,1,Canada,2014,Speed Skating
Silver,2,Iran,2004,Wrestling
Gold,1,Australia,1984,Athletics
Bronze,2,Japan,1998,Speed Skating
Silver,1,USA,2008,Equestrianism
Bronze,2,Finland,1920,Wrestling
Gold,3,Italy,1928,Boxing
Gold,2,UK,1976,Sailing
Gold,1,Sweden,1920,Athletics
Bronze,2,USA,1976,Figure Skating
Bronze,2,Russia,1972,Speed Skating
Silver,1,Germany,1976,Judo
Silver,1,Denmark,1912,Fencing
Bronze,2,Turkey,2004,Wrestling
Bronze,2,Ukraine,2000,Sailing
Gold,1,Colombia,2012,Cycling
Gold,1,Canada,1992,Athletics
Gold,1,Switzerland,2000,Triathlon
Bronze,1,Bulgaria,2004,Wrestling
Bronze,2,France,1972,Canoeing
Gold,1,Germany,1984,Wrestling
Bronze,1,Netherlands,1928,Boxing
Silver,1,Cuba,2004,Wrestling
Gold,1,Italy,1932,Shooting
Bronze,1,Bulgaria,1980,Boxing
Silver,4,Norway,2010,Curling
Bronze,1,Sweden,1964,Wrestling
Gold,2,Romania,1980,Canoeing
Gold,1,Poland,2000,Shooting
Silver,1,USA,1932,Rowing
Gold,1,Switzerland,1948,Equestrianism
Bronze,1,Japan,1924,Wrestling
Bronze,1,Suriname,1992,Swimming
Gold,1,Hungary,1992,Gymnastics
Bronze,1,USA,1996,Judo
Silver,1,Germany,1980,Wrestling
Silver,1,UK,1956,Boxing
Gold,1,North Korea,1992,Gymnastics
Bronze,2,Colombia,1972,Boxing
Gold,2,Cuba,1992,Athletics
Gold,1,Hungary,1928,Art Competitions
Gold,1,Portugal,1988,Athletics
Silver,2,South Korea,2008,Archery
Bronze,2,Kenya,1972,Boxing
Gold,2,Australia,1996,Swimming
Silver,1,Turkey,2008,Weightlifting
Bronze,1,South Korea,2008,Wrestling
Silver,2,Sweden,2000,Canoeing
Silver,2,Romania,2000,Gymnastics
Bronze,2,Norway,1900,Shooting
Silver,3,Netherlands,1932,Equestrianism
Gold,2,Slovenia,2014,Alpine Skiing
Gold,1,Iran,1968,Weightlifting
Bronze,3,Poland,1964,Weightlifting
Silver,2,France,1972,Sailing
Gold,1,USA,1960,Shooting
Bronze,1,Japan,1972,Judo
Gold,2,Canada,1960,Figure Skating
Silver,2,Czech Republic,1988,Tennis
Bronze,1,Netherlands,1980,Judo
Gold,1,USA,1964,Speed Skating
Gold,1,Algeria,2000,Athletics
Bronze,2,Serbia,1988,Rowing
Bronze,1,Australia,2000,Judo
Silver,1,France,1932,Equestrianism
Gold,1,Belarus,2012,Shooting
Gold,1,Romania,2012,Shooting
Silver,1,South Korea,2004,Wrestling
Gold,1,Poland,1996,Judo
Bronze,2,Poland,1956,Boxing
Silver,3,Germany,1992,Speed Skating
Silver,1,Burundi,2016,Athletics
Gold,1,Russia,2008,Canoeing
Silver,1,France,1928,Wrestling
Silver,1,Finland,1948,Speed Skating
Bronze,2,Romania,1968,Wrestling
Silver,1,Trinidad,1964,Athletics
Bronze,3,USA,1988,Archery
Bronze,2,USA,1988,Diving
Bronze,2,Azerbaijan,2012,Boxing
Silver,1,Cuba,2000,Taekwondo
Gold,2,Romania,1992,Gymnastics
Gold,1,UK,2016,Tennis
Gold,1,Hungary,1956,Boxing
Bronze,1,Croatia,2008,Shooting
Gold,1,Belarus,2004,Athletics
Silver,1,Argentina,1952,Boxing
Silver,4,Denmark,1928,Sailing
Silver,1,Ireland,2000,Athletics
Bronze,1,Belarus,2004,Shooting
Gold,3,Russia,1964,Modern Pentathlon
Silver,1,Germany,2010,Biathlon
Bronze,2,Ukraine,1996,Sailing
Gold,1,Japan,2012,Boxing
Gold,1,Czech Republic,1972,Figure Skating
Silver,1,Estonia,1924,Weightlifting
Bronze,2,Russia,1976,Fencing
Gold,1,USA,2006,Short Track Speed Skating
Bronze,2,Netherlands,1936,Athletics
Gold,1,Turkey,2000,Judo
Gold,1,Italy,2016,Swimming
Silver,1,Norway,1948,Athletics
Gold,1,Lithuania,2012,Swimming
Gold,1,Austria,1932,Fencing
Bronze,2,Sweden,2010,Alpine Skiing
Bronze,3,Japan,1936,Athletics
Gold,1,Burundi,1996,Athletics
Silver,1,Spain,1992,Rhythmic Gymnastics
Gold,1,Cameroon,2008,Athletics
Silver,4,Japan,1992,Judo
Silver,1,USA,1976,Boxing
Silver,1,USA,2002,Short Track Speed Skating
Silver,2,Azerbaijan,2016,Judo
Silver,1,Hungary,2000,Weightlifting
Bronze,1,Italy,1912,Gymnastics
Silver,2,USA,1994,Alpine Skiing
Gold,3,Iran,2012,Wrestling
Gold,1,Hungary,1960,Canoeing
Gold,1,Poland,1968,Fencing
Bronze,1,Belgium,1992,Cycling
Bronze,1,Hungary,2008,Fencing
Gold,1,Denmark,1924,Boxing
Gold,1,Italy,1984,Weightlifting
Bronze,1,Spain,2008,Cycling
Gold,1,Sweden,2006,Biathlon
Bronze,1,Mexico,1936,Boxing
Bronze,1,Hungary,1912,Fencing
Bronze,2,France,1964,Cycling
Bronze,1,Russia,2012,Shooting
Silver,1,Uganda,1968,Boxing
Bronze,1,India,2012,Shooting
Silver,1,Germany,1968,Equestrianism
Silver,2,Italy,2004,Shooting
Silver,3,Netherlands,2008,Equestrianism
Silver,2,Hungary,1952,Canoeing
Gold,4,New Zealand,1984,Rowing
Silver,1,Belgium,1924,Wrestling
Bronze,1,Poland,1980,Judo
Bronze,1,South Africa,1932,Boxing
Silver,1,Switzerland,1932,Gymnastics
Gold,2,Greece,1906,Shooting
Gold,1,Poland,1996,Shooting
Bronze,2,Spain,1980,Canoeing
Silver,1,Indonesia,1996,Badminton
Bronze,1,Slovakia,2008,Wrestling
Silver,3,Finland,1928,Wrestling
Gold,1,Canada,2016,Swimming
Silver,1,Austria,2008,Judo
Gold,2,France,1980,Judo
Silver,1,South Korea,2008,Swimming
Bronze,2,Poland,2004,Canoeing
Gold,4,UK,1920,Tennis
Silver,1,Germany,1998,Freestyle Skiing
Gold,1,Argentina,2016,Judo
Gold,1,Sweden,2006,Alpine Skiing
Silver,2,Switzerland,1948,Alpine Skiing
Bronze,5,New Zealand,2012,Equestrianism
Gold,1,Germany,2006,Luge
Gold,1,Switzerland,2006,Skeleton
Silver,1,France,1984,Alpine Skiing
Gold,1,Mexico,1968,Swimming
Bronze,7,UK,2012,Gymnastics
Gold,1,Croatia,2012,Athletics
Bronze,1,Poland,1996,Canoeing
Bronze,2,Japan,2012,Wrestling
Bronze,1,Austria,1994,Alpine Skiing
Gold,2,USA,1952,Alpine Skiing
Silver,1,Germany,1976,Alpine Skiing
Silver,1,Belgium,1960,Athletics
Bronze,1,Colombia,2004,Weightlifting
Bronze,1,Hungary,1906,Athletics
Bronze,2,Estonia,1936,Wrestling
Gold,2,Sweden,2004,Canoeing
Bronze,1,Germany,2008,Athletics
Bronze,1,Hungary,1936,Wrestling
Silver,1,UK,2000,Shooting
Bronze,1,Poland,2002,Ski Jumping
Gold,2,Cuba,1992,Wrestling
Silver,4,Poland,1976,Cycling
Silver,1,Italy,1932,Wrestling
Bronze,2,Italy,1952,Cycling
Gold,1,UK,1924,Swimming
Bronze,1,Jamaica,1992,Athletics
Bronze,1,Mexico,1976,Boxing
Silver,1,Poland,1988,Judo
Gold,2,UK,1988,Sailing
Silver,1,Hungary,1960,Modern Pentathlon
Silver,3,Russia,1960,Modern Pentathlon
Silver,2,Japan,1960,Gymnastics
Bronze,2,Bulgaria,1992,Canoeing
Gold,2,China,2004,Canoeing
Silver,1,Dominican Republic,2008,Taekwondo
Bronze,8,Finland,1936,Gymnastics
Gold,1,South Korea,2016,Fencing
Silver,1,UK,1992,Canoeing
Silver,1,Switzerland,1996,Equestrianism
Gold,2,Germany,1998,Speed Skating
Silver,1,Cuba,2016,Judo
Gold,1,Denmark,1924,Fencing
Gold,1,Czech Republic,1976,Shooting
Bronze,1,Italy,2000,Shooting
Gold,2,Austria,1980,Alpine Skiing
Silver,1,Switzerland,2000,Rowing
Gold,1,Japan,1932,Equestrianism
Bronze,1,Azerbaijan,2016,Canoeing
Bronze,2,Czech Republic,1980,Rowing
Silver,2,Italy,2000,Athletics
Bronze,2,Bulgaria,1996,Weightlifting
Gold,1,Egypt,1928,Wrestling
Gold,1,Canada,2004,Cycling
Silver,2,Russia,1960,Shooting
Gold,1,USA,2000,Weightlifting
Bronze,1,France,2016,Swimming
Bronze,1,Latvia,1992,Cycling
Bronze,1,Italy,1932,Cycling
Bronze,1,Hungary,2012,Modern Pentathlon
Gold,1,Sweden,1996,Athletics
Silver,1,Estonia,1936,Wrestling
Gold,1,Japan,1964,Weightlifting
Silver,1,Russia,2004,Trampolining
Bronze,1,Denmark,1992,Boxing
Silver,2,Russia,1972,Cross Country Skiing
Silver,1,Portugal,2004,Cycling
Silver,1,Italy,1920,Fencing
Gold,1,USA,2002,Short Track Speed Skating
Gold,1,Germany,1994,Speed Skating
Bronze,1,Brazil,2012,Modern Pentathlon
Bronze,2,Australia,1992,Tennis
Silver,1,USA,2002,Skeleton
Bronze,1,Russia,1988,Figure Skating
Bronze,1,UK,1920,Tennis
Bronze,2,Germany,1984,Judo
Gold,1,Ukraine,2004,Trampolining
Gold,2,Hungary,1932,Gymnastics
Bronze,2,USA,1992,Rowing
Silver,1,Italy,1956,Boxing
Silver,2,Austria,1992,Luge
Silver,1,Sweden,2012,Triathlon
Bronze,2,North Korea,2008,Judo
Gold,1,Brazil,2004,Equestrianism
Bronze,2,Poland,2012,Canoeing
Gold,1,France,1972,Cycling
Gold,1,Hungary,1976,Athletics
Silver,1,Sweden,1948,Boxing
Bronze,2,Russia,1972,Judo
Silver,1,Romania,1956,Fencing
Bronze,1,Denmark,1936,Boxing
Gold,1,Croatia,2000,Weightlifting
Silver,1,USA,1988,Tennis
Gold,1,Tunisia,2008,Swimming
Silver,4,Germany,2010,Ski Jumping
Gold,1,Canada,1956,Shooting
Bronze,1,USA,1968,Equestrianism
Bronze,1,UK,1984,Weightlifting
Silver,2,France,1992,Alpine Skiing
Bronze,1,Finland,1924,Cross Country Skiing
Silver,1,Sweden,1920,Figure Skating
Bronze,1,Japan,2014,Freestyle Skiing
Bronze,1,Estonia,2004,Judo
Bronze,2,Canada,1988,Figure Skating
Bronze,5,Netherlands,1906,Fencing
Bronze,3,USA,1984,Diving
Bronze,1,Greece,1908,Shooting
Bronze,1,Cuba,2008,Taekwondo
Bronze,3,Hungary,1964,Modern Pentathlon
Bronze,1,India,1996,Tennis
Silver,2,Bulgaria,1992,Weightlifting
Bronze,1,Canada,1932,Art Competitions
Silver,2,France,1952,Athletics
Bronze,2,Netherlands,2012,Cycling
Bronze,2,USA,1928,Rowing
Gold,1,Australia,2012,Cycling
Bronze,2,Russia,1988,Boxing
Bronze,2,Ukraine,2016,Canoeing
Bronze,1,Serbia,1976,Judo
Bronze,2,Czech Republic,2014,Biathlon
Gold,4,France,1976,Equestrianism
Silver,1,Colombia,2016,Boxing
Bronze,1,Spain,1996,Athletics
Gold,5,Russia,1980,Weightlifting
Gold,1,Uzbekistan,2016,Weightlifting
Silver,1,Portugal,2004,Athletics
Silver,2,USA,2010,Short Track Speed Skating
Gold,2,Canada,2010,Figure Skating
Gold,3,Japan,1976,Judo
Silver,1,Belarus,2010,Biathlon
Silver,1,Nigeria,2000,Weightlifting
Bronze,1,Finland,1952,Canoeing
Gold,1,France,1932,Wrestling
Silver,2,Bulgaria,2000,Canoeing
Bronze,2,Russia,1980,Figure Skating
Gold,6,Russia,2014,Bobsleigh
Gold,1,Japan,1928,Athletics
Bronze,2,Finland,1936,Speed Skating
Gold,2,France,1906,Gymnastics
Bronze,1,Hungary,1996,Modern Pentathlon
Gold,1,Italy,1964,Athletics
Gold,1,France,1972,Sailing
Gold,1,Sweden,1952,Athletics
Bronze,1,France,1968,Swimming
Silver,5,Hungary,1908,Swimming
Gold,1,Bulgaria,2000,Wrestling
Bronze,1,Switzerland,1936,Cycling
Silver,4,Switzerland,1998,Bobsleigh
Gold,1,Finland,1984,Ski Jumping
Silver,1,Poland,2002,Ski Jumping
Bronze,1,Germany,1984,Weightlifting
Bronze,1,Ireland,2012,Equestrianism
Gold,1,Sweden,1932,Modern Pentathlon
Gold,1,Colombia,2016,Cycling
Bronze,1,Tunisia,1996,Boxing
Gold,3,Germany,1988,Nordic Combined
Gold,1,Czech Republic,1960,Boxing
Gold,1,Estonia,1920,Weightlifting
Bronze,2,Russia,2000,Cycling
Bronze,5,Japan,2000,Swimming
Bronze,1,Iran,1976,Weightlifting
Bronze,2,South Korea,2010,Short Track Speed Skating
Silver,1,USA,1984,Weightlifting
Silver,1,UK,1908,Jeu De Paume
Silver,1,Canada,1984,Wrestling
Bronze,1,Finland,1948,Art Competitions
Bronze,1,Norway,1936,Boxing
Silver,1,Canada,2016,Swimming
Silver,1,Spain,2016,Athletics
Bronze,1,France,1996,Cycling
Bronze,2,Canada,1996,Swimming
Gold,1,Italy,1912,Fencing
Silver,1,Denmark,1920,Athletics
Silver,1,Sweden,1972,Canoeing
Bronze,1,France,1992,Alpine Skiing
Bronze,1,Armenia,2000,Weightlifting
Silver,1,Serbia,1956,Athletics
Silver,1,Cuba,2004,Athletics
Silver,1,USA,1988,Diving
Gold,2,Romania,2000,Swimming
Silver,1,Belgium,1948,Cycling
Silver,1,Kazakhstan,2012,Boxing
Silver,1,USA,2012,Gymnastics
Bronze,1,Italy,1932,Shooting
Gold,1,Hungary,2004,Fencing
Bronze,5,Poland,1964,Fencing
Silver,1,Australia,1964,Athletics
Bronze,3,Germany,2000,Archery
Silver,3,Japan,2016,Table Tennis
Bronze,1,Canada,2014,Speed Skating
Silver,1,Russia,1956,Boxing
Bronze,1,Bulgaria,2002,Biathlon
Bronze,1,South Korea,1992,Wrestling
Silver,1,USA,1948,Modern Pentathlon
Bronze,1,Germany,1960,Equestrianism
Silver,1,Iran,1992,Wrestling
Gold,2,Turkey,1996,Weightlifting
Bronze,1,South Korea,1996,Archery
Bronze,6,China,2008,Swimming
Gold,1,Hungary,2012,Athletics
Gold,3,USA,1988,Boxing
Bronze,1,Monaco,1924,Art Competitions
Gold,1,Spain,2008,Tennis
Bronze,3,Germany,1952,Sailing
Bronze,2,Canada,1988,Sailing
Silver,2,Austria,1972,Alpine Skiing
Bronze,1,Colombia,2016,Weightlifting
Silver,1,USA,1932,Speed Skating
Gold,1,Italy,1968,Cross Country Skiing
Gold,1,Cuba,2000,Taekwondo
Silver,2,Germany,1976,Canoeing
Silver,2,Romania,2016,Tennis
Gold,1,Ukraine,2000,Shooting
Silver,1,Iran,1952,Weightlifting
Silver,2,Indonesia,2008,Badminton
Silver,1,Croatia,2016,Rowing
Bronze,1,Iran,1952,Weightlifting
Gold,1,Bulgaria,1988,Boxing
Gold,1,Japan,1932,Athletics
Bronze,1,Norway,1928,Cross Country Skiing
Gold,2,Estonia,1936,Wrestling
Bronze,1,Netherlands,1960,Speed Skating
Bronze,2,Czech Republic,1988,Tennis
Bronze,3,Bulgaria,1980,Wrestling
Gold,1,New Zealand,1928,Boxing
Bronze,1,Italy,2004,Judo
Gold,1,Turkey,2000,Weightlifting
Bronze,1,Afghanistan,2008,Taekwondo
Silver,1,Netherlands,2000,Sailing
Bronze,2,Algeria,1984,Boxing
Bronze,1,Austria,1936,Fencing
Bronze,1,Austria,1948,Fencing
Gold,1,USA,2000,Shooting
Silver,1,Switzerland,1984,Shooting
Bronze,1,South Korea,1988,Gymnastics
Gold,1,UK,2016,Swimming
Silver,1,Italy,1976,Cycling
Gold,1,Mongolia,2008,Judo
Bronze,2,Russia,2004,Diving
Gold,1,France,1920,Fencing
Silver,1,France,2004,Tennis
Silver,1,Germany,2010,Luge
Bronze,1,Czech Republic,1960,Boxing
Bronze,2,South Korea,2014,Short Track Speed Skating
Bronze,1,Poland,2016,Wrestling
Silver,1,Germany,1976,Boxing
Silver,1,Canada,2006,Skeleton
Silver,1,Zambia,1996,Athletics
Silver,1,Hungary,1992,Modern Pentathlon
Bronze,1,Japan,2012,Athletics
Bronze,1,Sweden,1988,Boxing
Silver,2,France,2016,Boxing
Silver,1,France,1984,Judo
Gold,1,Slovakia,1996,Canoeing
Bronze,2,USA,2004,Beach Volleyball
Silver,1,France,2014,Alpine Skiing
Gold,2,Bulgaria,1976,Weightlifting
Bronze,1,Japan,1968,Weightlifting
Silver,1,Iran,1972,Weightlifting
Silver,1,Japan,2008,Fencing
Gold,3,UK,1906,Cycling
Bronze,2,Poland,2016,Canoeing
Bronze,1,Jamaica,1972,Athletics
Gold,1,USA,1984,Archery
Gold,1,Austria,1968,Alpine Skiing
Silver,2,Ukraine,2012,Canoeing
Bronze,2,UK,1906,Shooting
